Early Access - Feb 26 through Mar 2 ,Completed?,,,Version Checker,,,Changelog - Old version updates found at bottom of sheet,,,
"Season 1 Week 1 – Mar 17 – Heroic Week, 2nd craft",,,,,,,,,Version 8: Complete rework from the ground up with new Crest changes,
Do not spend any Heroic or Mythic Crests until told to do so. Check Guide for why we hold crests.,,,,,,,,,"Version 9: Updated with more M0, Prey, renown info",
Special note for Fury Warriors - you can probably craft now. Check Guide for what and went to craft.,FALSE,,,,,,,,Version 10: Final update before launch - added info on treasures and rares,
Do LFR for tier pieces - obtaining a 4set bonus will allow catalyst charges to drop from all content,FALSE,,,,,,,,Version 11: Darkmoon Faire no longer gives renown increases. Removed reference to possible exploit. Added some notes that the renown items are from quests,
Complete weekly world event quest for pinnacle cache and spark from Lady Liadrin,FALSE,,,,,,,,"Version 12: Updated Early access notes, added reference to two renown achievements specifically, and clarified what champion items are available",
Complete weekly housing quest from Vaeli for ?hero crests? (will update when it goes live),FALSE,,,,,,,,Version 13: Nothing new on release day but updated pre-season weeks 1/2,
"If available, complete pvp quest for guaranteed hero neck/ring - can maybe do with the below optional PvP ranking",FALSE,,,,,,,,Version 14: Emergency version update - Saltheril's Soiree just went live ,
"(Optional) Raise PVP ranking to 1600 for catalyst charge (this is the same catalyst charge shared with 2,000 M+ rating from the next week). If you get 2 pieces of tier from your raid this week, this would allow you to catalyze 2 items and start getting Catalyst charge drops from your m+ next week.",FALSE,,,,,,,,,
(Optional) Complete a World Tour of M0 dungeons - rewards champ ilvl - daily lockout - DON'T BURN YOURSELF OUT! M+ opens next week and will replace all of this.,FALSE,,,,,,,,,
"(Optional) If you don't want to do world tours of M0 dungeons every day, consider running a dungeon with a very good trinket each day for a chance at getting it",FALSE,,,,,,,,,
Complete 2x Nightmare Prey for Champion gear on each character,FALSE,,,,,,,,,
"If Nightmare has a weekly quest for a Hero track item, do that as well.",FALSE,,,,,,,,,
Kill World Boss for champ 2/6 250 ilvl item,FALSE,,,,,,,,,
"Do t8 or higher bountiful delves, use map on t8+ delve - while doing this, unlock t11 delves",FALSE,,,,,,,,,
Not confirmed yet - fill your vault in every slot for multiple chances at tier items next week.,FALSE,,,,,,,,,
"Before raid, craft 2x 246 ilvl pieces, 2x embellishments on weak slots, use 160 Vet Crests. These do not take Sparks. Check Guide for more information.",FALSE,,,,,,,,,
"Before raid, spend all Adventurer, Veteran and Champion Crests upgrading anything. Do not spend Heroic or Mythic crests.",FALSE,,,,,,,,,
"Track spent crests: 0/100 Heroic, 0/100 Mythic ",FALSE,,,,,,,,,
"Week 2 – Mar 24 – Mythic Week, M+ Opens, take off work giganerds",,,,,,,,,,
